"","urbrur","hhsize","statocc","rooms","bedrooms","floor","walls","roof","electricity","cook_fuel","phone","cell","car","bicycle","motorcycle","refrigerator","tv","radio","bank","exp_01","exp_02","exp_03","exp_04","exp_05","exp_06","exp_07","exp_08","exp_09","exp_10","exp_11","exp_12"
"1302","Rural",8,"Owned",2,1,"Earth","Adobe","Metal","Yes","Electricity","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4286,46,846,724,1117,384,1666,136,446,410,104,608
"1303","Rural",6,"Owned",2,1,"Cement","Adobe","Metal","No","Wood","No","No","Yes","No","No","No","No","No","No",3114,48,566,1190,432,86,1968,73,113,463,202,414
"1304","Rural",7,"Owned",1,1,"Earth","Adobe","Other","No","Wood","No","No","No","No","No","No","No","Yes","No",3897,153,376,422,274,76,107,14,29,120,99,103
"1305","Rural",7,"Owned",3,2,"Earth","Adobe","Metal","No","Wood","No","Yes","No","Yes","No","No","Yes","Yes","Yes",6799,312,869,488,635,160,925,514,349,633,411,296
"1306","Rural",9,"Owned",6,3,"Earth","Adobe","Metal","No","Wood","No","No","No","No","No","No","No","No","No",5092,311,376,1126,332,113,188,18,81,199,102,180
"1307","Rural",7,"Owned",3,2,"Earth","Wood","Metal","Yes","Coal","No","No","No","No","No","No","Yes","Yes","No",5181,135,366,1358,369,167,434,29,220,248,369,270
"1308","Rural",6,"Owned",1,1,"Earth","Adobe","Thatch","No","Wood","No","No","No","No","No","No","No","No","No",2729,19,172,775,262,35,54,15,24,37,338,129
"1309","Rural",6,"Owned",1,1,"Earth","Wood","Metal","Yes","Wood","No","Yes","No","No","No","No","No","Yes","No",6883,122,352,818,342,254,740,98,404,97,243,117
"1310","Rural",3,"Owned",3,2,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",4143,114,743,3549,515,277,1288,1095,360,290,288,1017
"1311","Urban",1,"Rented",5,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1688,71,673,5869,628,219,836,805,471,175,797,779
"1312","Rural",10,"Owned",3,2,"Earth","Adobe","Metal","No","Wood","No","Yes","No","No","No","No","No","Yes","No",4922,248,531,305,374,93,365,238,140,282,201,186
"1313","Urban",6,"Owned",4,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",4735,55,1287,4803,618,664,2632,863,565,1732,360,1307
"1314","Rural",3,"Owned",5,2,"Other","Brick","Metal","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",3392,73,752,4903,907,189,1930,774,294,723,820,821
"1315","Rural",9,"Owned",2,2,"Earth","Wood","Thatch","Yes","Other","No","No","No","No","No","No","No","No","No",4592,40,398,367,444,494,220,0,52,91,44,147
"1316","Rural",2,"Owned",1,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",2699,34,540,2664,211,142,502,286,86,123,212,698
"1317","Rural",4,"Owned",3,2,"Earth","Adobe","Thatch","No","Wood","No","No","No","No","No","No","No","No","No",2498,271,199,306,203,46,108,22,34,40,56,60
"1318","Rural",2,"Owned",1,1,"Cement","Brick","Other","Yes","Petroleum","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes",1670,53,350,1676,330,128,1497,352,220,80,332,580
"1319","Rural",1,"Owned",5,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",2031,80,831,7231,1710,333,4194,1221,782,345,1067,965
"1320","Rural",5,"Owned",4,3,"Earth","Adobe","Thatch","No","Wood","No","No","No","No","No","No","No","Yes","No",3245,310,318,377,269,62,169,43,62,96,83,96
"1321","Urban",4,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",3833,63,1120,5701,1146,506,3794,1617,771,1210,736,1179
"1322","Rural",2,"Owned",5,1,"Cement","Brick","Concrete","Yes","Gas","Yes","No","No","No","Yes","Yes","Yes","Yes","No",2289,30,340,2883,256,168,416,561,117,152,128,464
"1323","Rural",5,"Rented",2,1,"Earth","Adobe","Other","No","Wood","No","Yes","No","No","No","No","No","No","No",3699,132,377,606,292,126,191,124,70,88,161,110
"1324","Rural",5,"Rented",1,1,"Cement","Brick","Metal","No","Wood","No","Yes","No","Yes","No","No","No","Yes","No",6820,246,657,888,389,171,897,198,243,377,521,259
"1325","Rural",7,"Owned",4,1,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","No","No","No","No","No",7542,194,275,921,361,302,548,14,176,55,67,99
"1326","Urban",4,"Owned",7,4,"Other","Brick","Concrete","Yes","Electricity","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes",7131,171,3358,13980,3242,1144,8451,2822,2387,6595,1418,3259
"1327","Urban",4,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3753,56,1241,5128,1229,472,3166,1404,787,1931,785,1149
"1328","Rural",2,"Owned",4,1,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",5846,165,1188,9277,1817,717,7697,2313,814,391,864,2635
"1329","Urban",4,"Owned",5,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4593,80,1687,7159,1654,679,4335,1842,1138,3263,852,1542
"1330","Rural",5,"Owned",3,1,"Cement","Brick","Metal","Yes","Wood","No","No","No","No","No","No","No","No","No",4189,70,336,2571,244,233,219,12,68,310,116,380
"1331","Urban",2,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",1893,46,607,3963,651,277,2654,624,419,285,567,728
"1332","Rural",7,"Owned",2,1,"Earth","Wood","Thatch","No","Wood","No","Yes","No","No","No","No","No","Yes","No",8853,231,415,686,318,153,756,242,275,174,149,92
"1333","Rural",2,"Owned",5,3,"Other","Brick","Metal","Yes","Gas","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",5759,112,1085,8980,2278,417,3051,1668,477,719,1074,1516
"1334","Rural",5,"Owned",2,1,"Earth","Metal","Metal","Yes","Wood","No","Yes","No","No","No","No","No","Yes","No",4085,89,335,481,334,183,311,110,132,146,166,122
"1335","Rural",6,"Owned",2,1,"Earth","Concrete","Metal","Yes","Petroleum","No","Yes","No","No","No","No","Yes","Yes","Yes",5497,96,710,882,772,365,593,357,412,403,425,324
"1336","Rural",7,"Owned",1,1,"Earth","Adobe","Thatch","Yes","Wood","No","No","No","No","Yes","Yes","Yes","No","No",5579,37,379,1622,559,81,204,48,95,205,820,527
"1337","Urban",3,"Owned",5,3,"Other","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",3042,53,906,5961,1081,399,2806,1132,668,1268,544,983
"1338","Rural",6,"Owned",1,1,"Earth","Brick","Metal","No","Other","No","No","No","No","No","No","No","No","No",3748,534,509,728,546,159,241,24,86,197,141,192
"1339","Rural",5,"Owned",1,1,"Earth","Adobe","Thatch","No","Wood","No","Yes","No","Yes","No","No","No","Yes","No",5789,229,590,413,501,124,410,349,145,136,234,242
"1340","Rural",5,"Owned",4,2,"Earth","Wood","Scrap","No","Wood","No","Yes","No","No","No","No","No","Yes","No",5484,162,585,1444,381,156,430,247,189,313,162,321
"1341","Urban",5,"Owned",3,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5309,67,1622,5979,1199,580,3811,1422,766,2604,1033,1411
"1342","Rural",6,"Owned",2,2,"Earth","Wood","Scrap","No","Wood","No","Yes","No","No","No","No","No","No","No",5466,84,561,1203,321,140,250,138,136,290,200,177
"1343","Urban",3,"Rented",2,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",2873,40,964,3906,646,360,2535,682,455,941,625,966
"1344","Rural",2,"Free",4,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",2568,39,595,3743,541,346,2522,589,281,286,240,801
"1345","Rural",5,"Owned",1,1,"Earth","Brick","Other","Yes","Wood","No","No","No","No","No","No","Yes","No","No",5230,138,218,1137,184,105,175,8,87,74,116,121
"1346","Urban",4,"Owned",5,3,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",4692,96,1081,5002,621,486,1194,700,564,1603,300,1299
"1347","Urban",3,"Owned",4,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",2695,43,883,4423,689,402,2507,687,475,1019,552,908
"1348","Rural",2,"Owned",4,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes",3877,56,930,6495,1420,505,4174,1344,537,632,729,1151
"1349","Rural",3,"Free",3,2,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","Yes","Yes","Yes","Yes","No",1723,12,231,2061,86,110,212,69,35,98,73,361
"1350","Urban",4,"Rented",3,2,"Cement","Brick","Metal","Yes","Electricity","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3853,172,1539,6376,1094,294,3761,921,935,1409,861,2478
"1351","Urban",3,"Owned",3,2,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3836,122,798,3984,434,312,1151,741,424,398,342,1135
"1352","Rural",8,"Owned",2,1,"Earth","Adobe","Metal","No","Wood","No","No","No","No","No","No","No","Yes","No",3413,228,427,318,261,80,250,45,90,188,117,133
"1353","Rural",4,"Owned",1,1,"Earth","Brick","Metal","No","Wood","No","No","No","No","No","No","No","No","No",4622,247,242,1169,268,89,155,0,45,72,162,178
"1354","Rural",7,"Owned",1,1,"Earth","Adobe","Thatch","No","Wood","No","No","No","No","No","No","No","No","No",3423,220,303,329,248,60,143,28,51,119,107,94
"1355","Rural",7,"Owned",2,1,"Earth","Brick","Thatch","No","Other","No","No","No","No","No","No","No","Yes","No",4311,395,462,750,449,181,177,22,60,117,74,200
"1356","Urban",4,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes",4097,51,1258,5710,1325,534,3019,1411,766,2468,820,1208
"1357","Urban",5,"Owned",3,3,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",5173,72,987,5774,607,551,3541,1320,403,733,605,1187
"1358","Rural",2,"Free",5,2,"Cement","Brick","Concrete","Yes","Coal","No","Yes","No","No","No","Yes","Yes","No","No",2374,48,560,3346,245,104,391,249,160,593,398,592
"1359","Rural",7,"Owned",4,2,"Earth","Adobe","Metal","Yes","Wood","No","Yes","No","Yes","No","No","No","Yes","No",4566,168,511,355,323,179,372,123,120,191,77,145
"1360","Rural",7,"Owned",3,2,"Cement","Brick","Concrete","Yes","Wood","No","Yes","No","Yes","Yes","No","Yes","Yes","No",6392,160,1219,3749,468,304,1029,267,532,1169,509,795
"1361","Rural",9,"Owned",4,3,"Cement","Brick","Metal","Yes","Wood","No","No","No","Yes","No","No","No","No","No",6535,330,375,1349,265,181,398,27,148,226,92,215
"1362","Rural",7,"Owned",3,2,"Earth","Brick","Other","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","No",3679,39,680,2336,190,133,280,47,79,450,261,760
"1363","Rural",1,"Free",11,5,"Cement","Concrete","Metal","Yes","Electricity","No","Yes","Yes","No","No","No","Yes","Yes","Yes",797,56,303,874,374,52,4307,179,290,82,140,745
"1364","Rural",2,"Owned",4,1,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",3824,63,1030,6817,1706,537,4447,1623,691,711,687,1274
"1365","Rural",5,"Owned",1,1,"Earth","Wood","Thatch","No","Wood","Yes","Yes","No","No","No","No","No","No","No",5693,152,309,684,241,96,402,226,168,103,154,93
"1366","Rural",7,"Owned",5,2,"Cement","Wood","Metal","No","Wood","No","Yes","Yes","No","No","No","No","No","Yes",8061,307,901,1055,505,156,6313,506,417,593,253,400
"1367","Rural",6,"Owned",5,4,"Earth","Adobe","Metal","Yes","Wood","No","No","No","No","No","No","No","No","No",3302,129,234,653,229,117,129,12,45,108,68,113
"1368","Rural",6,"Owned",4,1,"Earth","Brick","Thatch","No","Wood","No","No","No","No","No","No","No","No","No",3339,238,189,1048,166,88,105,12,41,91,21,136
"1369","Rural",5,"Owned",1,1,"Cement","Brick","Metal","Yes","Wood","No","Yes","No","No","No","No","Yes","No","Yes",7716,246,523,1460,401,195,1296,187,416,316,690,202
"1370","Rural",8,"Owned",2,1,"Earth","Adobe","Thatch","No","Wood","No","Yes","No","No","No","No","No","Yes","No",6695,255,647,425,546,123,436,379,169,277,278,269
"1371","Rural",5,"Owned",1,1,"Earth","Wood","Metal","Yes","Wood","No","Yes","No","No","Yes","Yes","Yes","No","No",6217,72,375,1071,557,205,765,115,471,136,320,210
"1372","Rural",2,"Owned",5,1,"Other","Brick","Metal","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",5759,112,1085,8980,2278,417,3051,1668,477,719,1074,1516
"1373","Rural",6,"Owned",3,2,"Cement","Adobe","Other","Yes","Wood","No","No","No","No","No","No","No","No","No",4173,258,374,302,306,70,176,35,55,214,98,128
"1374","Rural",5,"Owned",1,1,"Cement","Wood","Metal","Yes","Wood","No","Yes","No","No","Yes","No","No","No","No",5505,129,314,683,239,136,768,173,281,145,315,96
"1375","Rural",2,"Owned",4,2,"Cement","Adobe","Wood","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3105,49,500,2377,1249,334,3023,357,621,109,149,601
"1376","Rural",1,"Rented",9,4,"Other","Wood","Metal","No","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2418,159,482,2143,530,58,447,424,221,62,180,572
"1377","Rural",7,"Owned",2,1,"Earth","Wood","Thatch","No","Wood","No","No","No","No","No","No","No","Yes","No",6536,91,211,880,135,117,225,11,57,46,30,46
"1378","Rural",6,"Owned",1,1,"Earth","Adobe","Metal","Yes","Wood","No","Yes","No","Yes","No","No","No","Yes","No",3483,29,414,443,472,237,291,33,187,121,73,165
"1379","Rural",5,"Owned",2,1,"Earth","Concrete","Metal","Yes","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",5597,61,688,768,965,204,816,433,479,638,516,372
"1380","Rural",7,"Owned",5,3,"Earth","Adobe","Thatch","Yes","Wood","No","No","No","No","No","No","No","Yes","No",4208,68,524,1294,338,174,245,15,82,306,229,232
"1381","Rural",7,"Owned",4,2,"Earth","Cardboard","Thatch","Yes","Wood","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",7392,182,941,1420,1328,443,1366,226,1280,516,327,486
"1382","Rural",7,"Owned",1,1,"Earth","Adobe","Metal","No","Wood","No","Yes","No","No","No","No","No","Yes","No",3786,159,388,222,273,65,268,194,86,189,182,140
"1383","Rural",7,"Free",4,2,"Earth","Wood","Scrap","No","Wood","No","No","No","No","No","No","No","Yes","No",7841,463,394,994,383,225,299,41,69,118,36,127
"1384","Rural",2,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","No","No","No","Yes","Yes","Yes","Yes","No",1912,23,279,2338,235,133,319,570,100,100,117,422
"1385","Rural",6,"Owned",1,1,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",4575,33,195,837,461,49,131,16,44,95,651,222
"1386","Rural",9,"Owned",2,2,"Earth","Concrete","Metal","No","Gas","No","No","No","No","No","No","No","No","No",5371,20,632,2034,509,86,213,31,75,376,1366,422
"1387","Urban",4,"Rented",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5017,69,1564,6131,1276,554,3944,1449,794,2346,1054,1430
"1388","Urban",4,"Owned",4,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4289,73,1474,6284,1388,608,3927,1671,991,2558,758,1359
"1389","Rural",1,"Owned",4,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1413,38,454,3423,393,147,591,525,189,103,279,506
"1390","Urban",5,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3007,17,545,2683,213,319,409,348,172,679,157,635
"1391","Rural",6,"Owned",1,1,"Earth","Wood","Metal","No","Wood","No","Yes","No","No","No","No","No","Yes","No",6753,201,324,639,271,133,667,231,226,60,157,83
"1392","Rural",2,"Owned",5,3,"Earth","Brick","Concrete","Yes","Wood","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3597,95,690,5424,740,325,2185,730,257,469,717,1065
"1393","Rural",2,"Owned",4,2,"Cement","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","No","Yes","Yes","Yes",2079,38,329,2854,285,202,1474,493,124,144,177,446
"1394","Rural",7,"Owned",4,3,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","Yes","Yes","No","No","No",6939,73,730,1208,1309,527,770,27,434,184,108,697
"1395","Rural",2,"Owned",6,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",4263,73,1116,7835,1882,569,5272,1563,682,675,900,1382
"1396","Rural",10,"Owned",2,1,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",6278,36,421,1176,476,143,201,14,46,113,474,425
"1397","Rural",8,"Owned",2,2,"Earth","Wood","Thatch","Yes","Wood","No","No","No","No","No","No","No","No","No",8244,103,210,931,218,210,271,0,93,61,67,59
"1398","Rural",7,"Owned",1,1,"Earth","Other","Metal","No","Wood","Yes","No","No","No","No","No","No","Yes","No",7657,205,303,781,341,114,362,78,164,133,288,78
"1399","Urban",4,"Owned",5,3,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4995,74,1442,6435,1303,808,3705,2024,1030,2678,470,1578
"1400","Urban",3,"Owned",5,3,"Other","Brick","Concrete","Yes","Coal","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",2536,59,855,4707,570,174,1607,414,430,1130,822,973
"1401","Rural",3,"Owned",2,1,"Cement","Brick","Concrete","Yes","Wood","No","No","No","No","No","No","No","No","No",3053,97,481,2191,182,103,269,33,76,483,236,579
"1402","Rural",5,"Owned",2,2,"Earth","Brick","Concrete","Yes","Gas","No","No","No","Yes","No","No","Yes","Yes","No",2102,12,511,1821,107,133,225,28,57,497,168,545
"1403","Rural",5,"Owned",3,2,"Earth","Adobe","Metal","No","Wood","No","No","No","No","No","No","Yes","Yes","No",4749,375,618,543,434,140,465,63,176,285,164,160
"1404","Rural",4,"Owned",4,2,"Earth","Brick","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",3944,346,156,1119,188,165,142,10,39,31,40,208
"1405","Rural",5,"Free",2,1,"Earth","Wood","Metal","No","Wood","No","Yes","No","No","No","No","No","No","No",5219,161,337,1160,261,95,394,193,113,59,268,181
"1406","Rural",3,"Owned",2,1,"Earth","Wood","Metal","Yes","Wood","No","Yes","No","No","No","No","No","Yes","No",3213,120,244,660,192,94,289,114,109,45,199,153
"1407","Rural",2,"Owned",1,1,"Earth","Brick","Metal","Yes","Wood","No","No","No","No","No","No","Yes","Yes","No",2577,30,270,1276,204,89,206,21,74,23,113,422
"1408","Rural",5,"Owned",1,1,"Earth","Wood","Metal","No","Wood","No","No","No","No","No","No","No","No","No",6511,121,135,873,144,92,215,10,43,13,54,31
"1409","Rural",4,"Free",1,1,"Earth","Adobe","Thatch","No","Coal","No","No","No","No","No","No","No","No","No",2764,144,262,424,261,46,137,58,44,78,194,130
"1410","Rural",2,"Free",2,1,"Cement","Brick","Metal","Yes","Petroleum","No","Yes","No","No","No","No","No","Yes","Yes",1277,90,437,1156,233,95,264,288,129,26,75,422
"1411","Rural",4,"Owned",2,2,"Cement","Brick","Metal","Yes","Wood","No","No","No","No","No","Yes","Yes","Yes","No",3719,71,412,2715,250,106,505,58,112,340,320,390
"1412","Rural",3,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3589,50,733,3399,209,193,578,311,118,466,290,821
"1413","Rural",2,"Free",2,1,"Cement","Brick","Metal","Yes","Other","No","Yes","No","No","No","Yes","Yes","No","Yes",2095,48,303,2447,254,155,448,265,114,104,552,461
"1414","Rural",5,"Owned",1,1,"Earth","Brick","Metal","No","Wood","No","No","No","No","No","No","No","Yes","No",3346,311,185,440,167,54,168,9,39,74,72,70
"1415","Rural",3,"Owned",3,2,"Cement","Adobe","Metal","Yes","Wood","No","No","Yes","No","No","No","No","Yes","Yes",2919,78,451,850,243,108,2549,85,88,122,139,336
"1416","Rural",5,"Owned",2,1,"Earth","Brick","Other","No","Wood","No","No","No","No","No","No","No","No","No",3200,45,300,1254,196,84,106,16,44,155,116,218
"1417","Rural",2,"Rented",2,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3133,48,836,3677,410,221,933,626,212,231,391,900
"1418","Rural",5,"Owned",3,2,"Cement","Concrete","Metal","Yes","Wood","No","Yes","No","No","No","No","No","Yes","No",4457,51,471,569,383,85,296,264,105,283,374,275
"1419","Rural",3,"Owned",1,1,"Earth","Wood","Scrap","No","Wood","No","No","No","No","No","No","No","No","No",3518,99,152,591,162,60,70,10,16,38,55,51
"1420","Rural",3,"Owned",4,2,"Cement","Brick","Concrete","No","Wood","No","Yes","No","Yes","No","No","No","Yes","No",3481,151,339,1400,286,142,308,214,90,96,129,311
"1421","Rural",4,"Owned",3,2,"Cement","Adobe","Wood","Yes","Wood","No","No","Yes","No","No","No","No","No","No",2164,30,413,1137,211,121,720,24,91,166,53,203
"1422","Rural",1,"Owned",1,1,"Cement","Cardboard","Metal","Yes","Wood","No","Yes","Yes","No","No","No","Yes","No","Yes",1394,99,296,1140,316,57,2448,262,146,55,354,480
"1423","Rural",3,"Owned",3,2,"Earth","Wood","Thatch","Yes","Wood","No","Yes","No","No","No","No","Yes","Yes","No",4153,206,367,1042,287,167,550,174,378,80,256,230
"1424","Rural",2,"Owned",3,1,"Cement","Adobe","Other","Yes","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3815,71,704,1267,923,164,588,309,631,125,73,536
"1425","Rural",2,"Owned",2,1,"Cement","Concrete","Metal","Yes","Wood","Yes","No","No","No","Yes","Yes","Yes","No","No",2648,29,274,1577,486,78,254,541,110,58,200,439
"1426","Rural",2,"Owned",1,1,"Cement","Brick","Slate","Yes","Gas","No","No","Yes","No","No","Yes","Yes","No","Yes",1665,59,464,2804,337,121,2474,239,166,131,414,709
"1427","Rural",3,"Owned",1,1,"Cement","Brick","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",4621,155,386,789,222,116,281,18,65,166,250,192
"1428","Rural",4,"Owned",1,1,"Earth","Brick","Metal","No","Wood","No","Yes","No","No","No","No","No","No","No",4200,233,262,426,230,74,351,118,112,103,125,110
"1429","Rural",2,"Owned",2,1,"Cement","Brick","Metal","Yes","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2495,69,466,2950,331,108,429,316,150,130,288,814
"1430","Rural",3,"Owned",2,2,"Earth","Brick","Concrete","Yes","Petroleum","No","No","No","No","No","Yes","No","Yes","No",2100,52,220,2086,84,133,181,48,33,73,101,434
"1431","Rural",1,"Free",4,1,"Earth","Adobe","Metal","No","Petroleum","No","Yes","No","No","No","No","No","No","No",2007,268,293,1064,438,64,387,263,131,15,148,212
"1432","Rural",2,"Owned",4,1,"Cement","Brick","Concrete","Yes","Wood","No","No","No","No","No","Yes","Yes","Yes","No",1783,60,427,2623,132,71,240,65,68,385,283,479
"1433","Rural",5,"Owned",2,1,"Earth","Wood","Thatch","Yes","Other","No","No","No","No","No","No","No","No","No",3319,35,284,342,305,330,237,0,59,60,23,120
"1434","Rural",2,"Owned",2,1,"Cement","Adobe","Metal","Yes","Gas","No","No","No","No","Yes","No","Yes","No","No",2810,24,234,1544,234,57,227,64,62,51,205,405
"1435","Rural",2,"Owned",2,1,"Cement","Adobe","Metal","Yes","Wood","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes",3205,74,832,2998,939,197,2995,853,272,165,402,1478
"1436","Rural",3,"Owned",3,2,"Cement","Adobe","Metal","No","Wood","No","No","No","No","No","No","No","Yes","No",3068,268,268,247,233,35,194,65,46,71,95,106
"1437","Rural",2,"Owned",2,1,"Earth","Wood","Metal","Yes","Gas","No","Yes","No","No","No","Yes","No","Yes","Yes",3545,109,305,1600,254,133,556,342,83,39,112,479
"1438","Rural",3,"Owned",2,2,"Earth","Brick","Metal","Yes","Wood","No","Yes","No","No","No","Yes","Yes","No","No",5083,147,274,2160,300,156,600,156,135,62,259,338
"1439","Rural",5,"Owned",1,1,"Earth","Brick","Thatch","No","Wood","No","No","No","No","No","No","No","No","No",5754,282,225,995,193,74,196,13,60,84,68,72
"1440","Rural",3,"Owned",2,1,"Cement","Brick","Slate","Yes","Wood","No","No","No","No","No","No","Yes","Yes","No",3133,70,342,2459,170,102,343,25,111,143,148,357
"1441","Rural",3,"Owned",3,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","No","No","Yes","Yes",2102,26,290,2032,82,128,270,113,41,100,64,419
"1442","Rural",3,"Owned",2,2,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","No","No","No","Yes","No",4545,196,202,1006,241,105,262,17,57,32,116,210
"1443","Rural",2,"Owned",2,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","Yes","Yes","Yes","Yes","No",1771,19,263,1917,119,87,248,81,40,70,103,413
"1444","Rural",3,"Owned",3,2,"Cement","Concrete","Metal","No","Gas","No","Yes","No","No","No","No","No","Yes","Yes",3234,68,575,1264,424,69,357,328,160,279,323,415
"1445","Rural",2,"Owned",3,2,"Cement","Brick","Concrete","Yes","Wood","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3150,88,522,3514,254,119,470,266,121,227,358,773
"1446","Rural",4,"Owned",3,1,"Earth","Wood","Thatch","No","Wood","No","No","No","No","No","No","No","Yes","No",6259,211,175,832,163,96,340,24,85,34,38,45
"1447","Rural",3,"Owned",2,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3809,71,522,3126,246,197,764,310,125,180,244,784
"1448","Rural",2,"Owned",2,1,"Cement","Brick","Metal","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","No",1876,39,204,1780,105,73,237,88,36,47,79,394
"1449","Rural",4,"Owned",1,1,"Earth","Brick","Metal","No","Wood","No","Yes","No","No","No","No","No","No","No",4233,252,193,429,192,75,277,106,63,21,88,79
"1450","Rural",3,"Owned",4,2,"Earth","Wood","Metal","Yes","Wood","No","No","No","No","No","No","Yes","Yes","No",3508,21,341,831,560,327,495,26,544,73,20,295
"1451","Rural",3,"Owned",3,2,"Cement","Brick","Metal","Yes","Coal","No","No","No","No","No","Yes","Yes","No","No",5114,187,224,2017,237,82,869,34,161,48,332,136
"1452","Rural",2,"Free",2,2,"Cement","Brick","Concrete","Yes","Other","No","Yes","No","No","No","Yes","Yes","Yes","Yes",2110,36,657,2609,241,128,651,356,161,277,582,712
